"lat","long","strength","causalties","campaign","depiction","year","month","day","name","result","desc"
"6.13194","1.22278","693â€“1,500, British: 600, France: 500","British: 83, French:","African_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/a/a6/Gulf_of_Guinea_(English).jpg","1914","8","26","Togoland Campaign","Allied victory","The Togoland Campaign (6-26 August 1914) was a French and British invasion of the German colony of Togoland in West Africa, which began the West African Campaign of the First World War. German colonial forces withdrew from the capital Lomé and the coastal province to fight delaying actions on the route north to , where the Kamina Funkstation (wireless transmitter) linked the government in Berlin to Togoland, the Atlantic and South America. The main British and French force from the neighbouring colonies of Gold Coast and Dahomey advanced from the coast up the road and railway, as smaller forces converged on Kamina from the north. The German defenders were able to delay the invaders for several days at the Affair of Agbeluvoe (affair, an action or engagement not of sufficient magnitude to be called a battle) and the Affair of Khra but surrendered the colony on 26 August 1914. In 1916, Togoland was partitioned by the victors and in July 1922, British Togoland and French Togoland were established as League of Nations mandates."
"-6.307","34.854","1918: 1,283, Regulars (Schutztruppe), Total: 22,000, initially: 2,700, Initially: 2 battalions, British Empire, Total: 250,000 soldiers, 600,000porters, maximum: 18,000, 12,000â€“20,000 soldiers, Irregulars (Ruga-Ruga) 12,000+","22,000, 5,000, 12,000+, *dead, 11,189 soldiers killed, 15,650 porters died, 2,620 soldiers killed, 5,533 soldiers killed, 5,640 soldiers missing/, 95,000 porters died, Total: 40,000+ military casualties, unknown number of porter deaths","African_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/f/f4/Ger_claims_Prof_Delbruck_1917.jpg","1914","8","3","East African campaign","See [[#Aftermath","The East African campaign in World War I was a series of battles and guerrilla actions, which started in German East Africa (GEA) and spread to portions of Mozambique, Rhodesia, British East Africa, the Uganda, and the Belgian Congo. The campaign all but ended in German East Africa in November 1917 when the Germans entered Mozambique and continued the campaign living off Portuguese supplies. The strategy of the German colonial forces, led by Lieutenant Colonel (later Generalmajor) Paul von Lettow-Vorbeck, was to divert Allied forces from the Western Front to Africa. His strategy achieved only mixed results after 1916 when he was driven out of German East Africa. The campaign in Africa consumed considerable amounts of money and war material that could have gone to other fronts. The Germans in East Africa fought for the whole of the war, receiving word of the armistice on 14 November 1918 at 07:30 hours. Both sides waited for confirmation, with the Germans formally surrendering on 25 November. GEA became two League of Nations Class B Mandates, Tanganyika Territory of the United Kingdom and Ruanda-Urundi of Belgium, while the Kionga Triangle was ceded to Portugal."
"3.86667","11.5167","7,000, Total:, 6,000, 600, 9,000, France:, 1914:, Britain:, 1,668, 1,855, 1915:, Belgian Congo:","906, France:, 917, Britain:","African_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1914","8","6","Kamerun campaign","Allied victory","The Kamerun campaign took place in the German colony of Kamerun in the African theatre of the First World War when the British, French and Belgians invaded the German colony from August 1914 to March 1916. Most of the campaign took place in Kamerun but skirmishes also broke out in British Nigeria. By the Spring of 1916, following Allied victories, the majority of German troops and the civil administration fled to the neighbouring neutral colony of Spanish Guinea (Río Muni). The campaign ended in a defeat for Germany and the partition of its former colony between France and Britain."
"-19.65","17.3333","1,000, 3,500, 10 machine guns","3 killed, 20 captured, 8 wounded","South_West_Africa_campaign","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1915","7","1","Battle of Otavi","Decisive South African victory","The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July 1915 was the final battle of the South West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there. In the end, Botha's forces were able to rout Ritter's troops, leading to an overall breakdown in the German lines that brought the campaign to an end."
"-28.6847","18.5166","1,700 soldiers, 10 artillery pieces, 2 artillery pieces, 2 cavalry squadrons, 2 machine guns, 237 officers, 4 machine guns, and soldiers","14 killed, 46 wounded","South_West_Africa_campaign","https://upload.wikimedia.org/wikipedia/commons/d/d7/Blue_pog.svg","1914","9","26","Battle of Sandfontein","German victory","The Battle of Sandfontein was fought between the Union of South Africa on behalf of the British Imperial Government and the German Empire (modern-day Namibia) on 26 September 1914 at Sandfontein, during the first stage of the South West Africa Campaign of World War I, and ended in a German victory."
"-22.293","15.103","1,350, 2 field guns, 700-1,500, 9 armoured cars","14 wounded, 13 captured, 14 killed","South_West_Africa_campaign","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1915","4","26","Battle of Trekkopjes","South African victory","The Battle of Trekkopjes on 26 April 1915 was a German assault on the South African held railway station of Trekkopjes during the South West Africa Campaign of World War I. The South African Major Skinner had been ordered to defend Trekkopjes, and came into contact with a German column advancing on the station. Skinner withdrew back into Trekkopjes and dug in his forces. The German attack was repulsed with the help of armoured cars, leaving the South Africans victorious. The Battle of Trekkopjes saw the last German offensive in German South West Africa leaving them on the defensive for the remainder of the campaign."
"-28.8","20.65","6,000, unknown","16 wounded, 7 killed, 16 captured","South_West_Africa_campaign","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1915","2","4","Battle of Kakamas","South African victory, * German invasion repelled","The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river."
"-17.1961","14.6842","200 Cavalry, 580 Infantry, 650 Infantry","Around 70","German_campaign_in_Angola","https://upload.wikimedia.org/wikipedia/commons/b/b2/Embarque_tropas_para_angola_2.jpg","1914","10","14","Battle of Naulila","German Victory","Naulila was the scene of fighting between Portuguese Angola and German South West Africa during the early stages of World War I. On 19 October 1914, a German military column crossed the border and entered Angola without authorization from the Portuguese authorities. The column was intercepted by Portuguese forces and conducted to Fort Naulila. At Naulila, a dispute occurred between the Portuguese and the Germans which resulted in the death of three German officers. On 31 October, the Germans under the command of Oswald Ostermann retaliated, and raided the Portuguese fort at Cuangar, destroying the fort and killing all stationed border guards with machine-guns. This was later referred to as the Cuangar Massacre. On 18/19 December, Victor Franke led a successful retaliatory attack, defeating the Portuguese at Naulila."
"6.6595","1.16733","1,500, 2,642","83","Togoland_campaign","https://upload.wikimedia.org/wikipedia/commons/a/a6/Gulf_of_Guinea_(English).jpg","1914","8","15","Affair of Agbeluvoe","British and French victory","The Affair of Agbeluvoe (Agbéluvhoé, Beleaguer or the Battle of Tsewie, was fought during the First World War between invading British Empire soldiers of the West African Rifles and German Polizeitruppen (paramiltary police) in German Togoland (now Togo) on 15 August 1914. British troops occupying the Togolese capital of Lomé on the coast, had advanced towards a wireless station at Kamina, 100 mi (160 km) inland on hills near Atakpamé. The only routes inland were by the railway and road, which had been built through dense and almost impassable jungle. Two trainloads of German troops steamed south to engage the British and delay the Anglo-French invasion but were ambushed at Agbulovhoe, suffered many casualties and fled, leaving 30 mi (48 km) of railway to the north intact. After a halt of three days to accumulate supplies, the British advance resumed with support from French Tirailleurs Sénégalais. The German colonial forces were capable of only one more defensive action at the Affair of Khra on 22 August. The Germans blew up the wireless transmitter at Kamina on the night of 24/25 August and the colony was surrendered the next day."
"7.17067","1.15867","British: 300, France: 158, German Empire: 460â€“560","France: 44, Britain 31","Togoland_campaign","https://upload.wikimedia.org/wikipedia/commons/a/a6/Gulf_of_Guinea_(English).jpg","1914","8","22","Affair of Khra","Allied victory","The Affair of Khra [Chra] was fought by British and French troops against German Polizeitruppen (paramilitary police) in the village of Khra, near the on 22 August 1914, during the Togoland Campaign of the First World War. The German defenders mined the approaches to the river, blew the bridges and dug in around the village on the far bank, ready to defend the crossing with rifles and three concealed machine-guns. The British-French attack was repulsed and then a German counter-attack was ordered but many troops refused the order and the attack was not delivered. The Germans retired overnight to , due to apprehension that other British and French troops would cut off the Germans retreat and overestimation of the number of their opponents. The invaders paused for two days and resumed the advance on Kamina; they were met at Glei on 25 August, by two Germans who offered terms of surrender. Unconditional surrender was demanded by the British commander, which was accepted by the Germans the next day and hostilities ceased. The colony was administered jointly for the duration of the war by the French and British; after the war Togoland was partitioned. The western part of Togoland, administered by the British, joined Ghana in 1957 and French Togoland became independent as Togo in 1960."
