"lat","long","strength","causalties","campaign","depiction","year","month","day","name","result","desc"
"50.89","2.922","2 Canadian battalions, Elements of French Colonial forces, Unknown, but roughly equal or larger","Over 75% of Canadians killed or wounded","Second_Battle_of_Ypres, Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/9/96/Kitcheners'_Wood.jpg","1915","4","25","Battle of Kitcheners' Wood","Canadian victory","The Battle of Kitcheners' Wood was fought during World War I during the Second Battle of Ypres."
"50.4583","2.79417","3 divisions, 6 divisions","59,247","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/7/7a/British_infantry_advancing_at_Loos_25_September_1915.jpg","1915","10","8","Battle of Loos","German victory","The Battle of Loos took place from 25 September to 8 October 1915 in France on the Western Front, during the First World War. It was the biggest British attack of 1915, the first time that the British used poison gas and the first mass engagement of New Army units. The French and British tried to break through the German defences in Artois and Champagne and restore a war of movement. Despite improved methods, more ammunition and better equipment, the Franco-British attacks were largely contained by the Germans, except for local losses of ground. The British gas attack failed to neutralize the defenders and the artillery bombardment was too short to destroy the barbed wire or machine gun nests. German tactical defensive proficiency was still dramatically superior to the British offensive planning and doctrine, resulting in a British defeat."
"50.7625","2.89528","12 divisions, 5 divisions","24,562","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/1/18/Mesen_-_City_1.jpg","1917","6","14","Battle of Messines","British victory","The Battle of Messines (7-14 June 1917) was an attack by the British Second Army (General Sir Herbert Plumer), on the Western Front, near the village of Messines (now Mesen) in West Flanders, Belgium, during the First World War. The Nivelle Offensive in April and May had failed to achieve its more grandiose aims, had led to the demoralisation of French troops and confounded the Anglo-French strategy for 1917. The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French. The British tactical objective was to capture the German defences on the ridge, which ran from Ploegsteert Wood (Plugstreet to the British) in the south, through Messines and Wytschaete to Mt Sorrel, depriving the German 4th Army of the high ground. The ridge gave commanding views of the British defences and back areas of Ypres to the north, from which the British intended to conduct the Northern Operation, an advance to Passchendaele Ridge and then the capture of the Belgian coast up to the Dutch frontier. The Second Army had five corps, three for the attack and two on the northern flank not part of the operation; XIV Corps was in General Headquarters reserve. The 4th Army divisions of Group Wytschaete (Gruppe Wijtschate, the IX Reserve Corps headquarters) held the ridge and were later reinforced by a division from Group Ypres (Gruppe Ypern). The British attacked with the II Anzac Corps (3rd Australian Division, New Zealand Division and the 25th Division, with the 4th Australian Division in reserve), IX Corps (36th (Ulster), 16th (Irish) and 19th (Western) divisions and the 11th (Northern) Division in reserve), X Corps (41st, 47th (1/2nd London) and 23rd Divisions with the 24th Division in reserve). XIV Corps in reserve (Guards, 1st, 8th and 32nd divisions). The 30th, 55th (West Lancashire), 39th and 38th (Welsh) divisions in II Corps and VIII Corps, guarded the northern flank and made probing attacks on 8 June. Gruppe Wijtschate held the ridge with the 204th, 35th, 2nd, 3rd Bavarian (relieving the 40th Division when the British attack began) and 4th Bavarian divisions, with the 7th Division and 1st Guard Reserve Division as Eingreif (counter-attack) divisions. The 24th Saxon Division, relieved on 5 June, was rushed back when the attack began and the 11th Division, in Gruppe Ypern reserve, arrived on 8 June. The battle began with the detonation of 19 mines beneath the German front position, which devastated it and left large craters. A creeping barrage, 700 yd (640 m) deep, began and protected the British troops as they secured the ridge with support from tanks, cavalry patrols and aircraft. The effect of the British mines, barrages and bombardments was improved by advances in artillery survey, flash spotting and centralised control of artillery from the Second Army headquarters. British attacks from 8 to 14 June advanced the front line beyond the former German Sehnenstellung (Chord Position, the Oosttaverne Line to the British). The battle was a prelude to the much larger Third Battle of Ypres, the preliminary bombardment for which began on 11 July 1917."
"50.585","2.7775","2 divisions, 4 divisions","British, Indian, 12,892","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/a/ab/Neuve_Chapelle_area,_1914-1915.png","1915","3","13","Battle of Neuve Chapelle","See [[#Aftermath",NA
"50.9003","3.02111","50 divisions, 6 divisions, 77â€“83 divisions","(disputed, seeCasualtiessection), 240,000â€“448,614","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/e/e6/Chateauwood.jpg","1917","11","10","\Battle of Passchendaele\, \(Third Battle of Ypres)\","See [[#Analysis",NA
"48.8892","5.54361","1,481 aircraft, 2,900 artillery pieces, 419 tanks, American Expeditionary Forcesâ€“ containing 14 divisions (550,000 men), German Fifth Armyâ€“ containing 10 divisions averaging 5,000 men each., French Armyâ€“ containing 4 divisions (110,000 men), 213 aircraft","7,000 (4,500 KIA, 2,500 WIA","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/f/f6/3c15011u.jpg","1918","9","15","Battle of Saint-Mihiel","Allied victory","The Battle of Saint-Mihiel was a major World War I battle fought from 12-15 September 1918, involving the American Expeditionary Forces (AEF) and 110,000 French troops under the command of General John J. Pershing of the United States against German positions. The U.S. Army Air Service played a significant role in this action. This battle marked the first use of the terms D-Day and H-Hour by the Americans. The attack at the Saint-Mihiel salient was part of a plan by Pershing in which he hoped that the Americans would break through the German lines and capture the fortified city of Metz. It was the first large offensive launched mainly by the United States Army in World War I, and the attack caught the Germans in the process of retreating. This meant that their artillery was out of place and the American attack, coming up against disorganized German forces, proved more successful than expected. The Saint-Mihiel attack established the stature of the U.S. Army in the eyes of the French and British forces, and again demonstrated the critical role of artillery during World War I and the difficulty of supplying such massive armies while they were on the move. The U.S. attack faltered as artillery and food supplies were left behind on the muddy roads. The attack on Metz was not realized, as the Supreme Allied Commander Ferdinand Foch ordered the American troops to march towards Sedan and Mézières, which would lead to the Meuse-Argonne Offensive."
"49.3817","3.3236","At least 234,000 men, 210 aircraft, At least 345,000 men, 478 tanks","11,259 casualties, 13,000 casualties, 95,000 casualties","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/7/78/Chaudun.jpg","1918","7","22","Battle of Soissons","Allied victory","The Battle of Soissons (1918) (also known as the Battle of the Soissonnais and of the Ourcq (French: Bataille du Soissoinais et de L'Ourcq)) was a battle fought on the Western Front during World War I. Waged from 18 to 22 July 1918 between the French (with American and British assistance) and the German armies, the battle was part of the much larger Allied Aisne-Marne counter-offensive. It followed the final German Spring Offensive, Operation Marneschutz-Reims (also known as the Friedensturm or peace offensive). The primary objective of the attack was to cut both the Soissons - Château-Thierry road and the railroad running south from Soissons to Château-Thierry. As these were the main supply routes for the German forces in the Marne salient, cutting them would severely impair the Germans' ability to supply its armies defending it. This would force them to retreat and give up their gains. This battle marked the turning point of the war as the Germans would be on the defensive for the remainder of the conflict."
"50.5719","2.74472","2 battalions","850â€“1,366","Western_Front_(World_War_I), World_War_I","https://upload.wikimedia.org/wikipedia/commons/b/be/Richebourg-l'Avou%C3%83%C2%A9_area,_1915-1916.png","1916","6","30","Battle of the Boar's Head","See [[#Aftermath","The Battle of the Boar's Head was an attack on 30 June 1916 at Richebourg-l'Avoué in France, during the First World War. Troops of the 39th Division, XI Corps in the First Army of the British Expeditionary Force (BEF), advanced to capture the Boar's Head, a salient held by the German 6th Army. Two battalions of the 116th Brigade, with one battalion forming carrying parties, attacked the German front position before dawn on 30 June. The British took and held the German front line trench and the second trench for several hours, before retiring to their lines having lost 850-1,366 casualties. The operation was conducted when the British armies on the Western Front north of the Somme, supported the Fourth Army during the Battle of the Somme (1 July to 18 November). The British Third, First and Second armies conducted 310 raids against the Germans up to November 1916, harassing the Germans opposite to give novice divisions experience of fighting on the Western Front, to inflict casualties and to prevent German troops from being transferred to the Somme. From 19 to 20 July, XI Corps conducted the much bigger Battle of Fromelles, where British and Australian troops suffered an even greater number of casualties."
"49","4","13 divisions, 17 divisions","21,697","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/b/bb/German_defences_in_the_Plain_of_Betheny,_1916.jpg","1917","4","20","Battle of the Hills","Inconclusive","The Battle of the Hills (French: Bataille des Monts) also known as the Battle of the Hills of Champagne and the Third Battle of Champagne, was a battle of the First World War that was fought from April-May 1917. The French Fourth Army offensive against the German 4th Army was to support the Groupe d'armées du Nord (GAN, Northern Army Group) along the Chemin des Dames, in the Second Battle of the Aisne. General Anthoine, commander of the Fourth Army planned a supporting attack but this was rejected by Nivelle and Anthoine planned a frontal attack by two corps on an 11 km (6.8 mi) front, to break through the German defences on the first day and commence exploitation the following day. The battle took place east of Reims, between Prunay and Aubérive, in the province of Champagne, along the Moronvilliers Hills. On the left of XII Corps to the east of the Suippes river, the established a flank guard by attacking through Bois des Abattis towards Germains and Baden-Baden trenches. On the left flank of the division, Aubérive on the east bank of the river was rapidly captured. On the west bank of the Suippes, the 75th Territorial Regiment (Moroccan Division) made progress round the main part of Aubérive. The Moroccan Division was repulsed on its extreme right but the Régiment de marche de la Légion étrangère (March Regiment of the Foreign Legion) gained a foothold at Le Golfe. North-east of Mont Haut, the advance reached a depth of 2.4 km (1.5 mi) and next day the advance was pressed further. To the west, the French took Mont Cornillet and Mont Blond and the was repulsed at Bois de la Grille. The French spent 18 April consolidating and the 45th Division pushed up to the southern edge of Mont Haut. The Monts were held against a German counter-attack on 19 April, between Nauroy and Moronvilliers, by the 5th Division and 6th Division, which had been trained as Eingreifdivisionen (specialist counter-attack divisions), supported by the 23rd Division plus one regiment. Next day, the French 33rd Division captured Le Téton and the capture of Aubérive was completed by the 24th Division and the Territorial battalions. On 20 April, French troops got onto the summit of Le Casque and on 22 April, the eastern and lower summit of Mont Haut was secured by the 45th Division. The Fourth Army took 3,550 prisoners and 27 guns. Counter-attacks by the German 4th Army on 27 May had temporary success, before the French recaptured ground around Mont Haut; lack of troops had forced the Germans into piecemeal attacks, instead of a simultaneous attack all along the front. The French attacked again from 17 to 22 April and despite German counter-attacks on 19 and 23 April, advanced slightly on the Heights of Moronvilliers. After a lull, the French attacked again on 30 April and ended the offensive on 20 May. The number of German prisoners taken by the end of the battle had been increased to 6,120, with 52 guns, 42 mortars and 103 machine-guns."
"50.4667","4.86667","Unknown, 11 divisions, 2nd Army, 17th Army, 17 divisions, 37 tanks","Unknown","Western_Front_(World_War_I)","https://upload.wikimedia.org/wikipedia/commons/4/47/George_Edmund_Butler_-The_scaling_of_the_walls_of_Le_Quesnoy.jpg","1918","11","4","Battle of the Sambre (1918)","Allied victory","The Second Battle of the Sambre (4 November 1918) (which included the Second Battle of Guise (French: 2ème Bataille de Guise) and the Battle of Thiérache (French: Bataille de Thiérache) was part of the final European Allied offensives of World War I."
