"lat","long","strength","causalties","campaign","depiction","year","month","day","name","result","desc"
"30.89","34.02","6,000, 2,000","124 wounded, 22 dead","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/d/dd/Camel_corps_at_Magdhaba.jpg","1916","12","23","Battle of Magdhaba","British victory","The Battle of Magdhaba took place on 23 December 1916 during the Defence of Egypt section of the Sinai and Palestine Campaign in the First World War. The attack by the Anzac Mounted Division took place against an entrenched Ottoman Army garrison to the south and east of Bir Lahfan in the Sinai desert, some 18-25 miles (29-40 km) inland from the Mediterranean coast. This Egyptian Expeditionary Force (EEF) victory against the Ottoman Empire garrison also secured the town of El Arish after the Ottoman garrison withdrew. In August 1916, a combined Ottoman and German Empire army had been forced to retreat to Bir el Abd, after the British victory in the Battle of Romani. During the following three months the defeated force retired further eastwards to El Arish, while the captured territory stretching from the Suez Canal was consolidated and garrisoned by the EEF. Patrols and reconnaissances were carried out by British forces, to protect the continuing construction of the railway and water pipeline and to deny passage across the Sinai desert to the Ottoman forces by destroying water cisterns and wells. By December 1916, construction of the infrastructure and supply lines had sufficiently progressed to enable the British advance to recommence, during the evening of 20 December. By the following morning a mounted force had reached El Arish to find it abandoned. An Ottoman Army garrison in a strong defensive position was located at Magdhaba, some 18-30 miles (29-48 km) inland to the south east, on the Wadi el Arish. After a second night march by the Anzac Mounted Division (Australian and New Zealand Mounted Division), the attack on Magdhaba was launched by Australian, British and New Zealand troops against well-entrenched Ottoman forces defending a series of six redoubts. During the day's fierce fighting, the mounted infantry tactics of riding as close to the front line as possible and then dismounting to make their attack with the bayonet supported by artillery and machine guns prevailed, assisted by aircraft reconnaissances. All of the well-camouflaged redoubts were eventually located and captured and the Ottoman defenders surrendered in the late afternoon."
"31.265","34.235","Imperial Camel Corps Brigade, Desert Column, ANZAC Mounted Division, Ottoman garrison of 2,000 soldiers, 7th Light Car Patrol","415 wounded, 71 killed,","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/9/9f/British_ambulance_wagons_after_the_Battle_of_Rafa_in_1917.jpg","1917","1","9","Battle of Rafa","British victory","The Battle of Rafa, also known as the Action of Rafah, fought on 9 January 1917, was the third and final battle to complete the recapture of the Sinai Peninsula by British forces during the Sinai and Palestine campaign of the First World War. The Desert Column of the Egyptian Expeditionary Force (EEF) attacked an entrenched Ottoman Army garrison at El Magruntein to the south of Rafah, close to the frontier between the Sultanate of Egypt and the Ottoman Empire, to the north and east of Sheikh Zowaiid. The attack marked the beginning of fighting in the Ottoman territory of Palestine. After the British Empire victories at the Battle of Romani in August 1916 and the Battle of Magdhaba in December, the Ottoman Army had been forced back to the southern edge of Palestine as the EEF pushed eastwards supported by extended lines of communication. This advance depended on the construction of a railway and a water pipeline. With the railway reaching El Arish on 4 January 1917, an attack on Rafa by the newly-formed Desert Column became possible. During the day-long assault, the Ottoman garrison defended El Magruntein's series of fortified redoubts and trenches on rising ground surrounded by flat grassland. They were eventually encircled by Australian Light Horsemen, New Zealand mounted riflemen, mounted yeomanry, cameliers and armoured cars. In the late afternoon, the New Zealand Mounted Rifles Brigade captured the central redoubt and the remaining defences were occupied shortly afterwards."
"30.992","32.648","14,000, 16,000","1,130","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/f/f1/AWM_P01034.013AFC_pilots.jpeg","1916","8","5","Battle of Romani","British Empire victory","The Battle of Romani was the last ground attack of the Central Powers on the Suez Canal at the beginning of the Sinai and Palestine campaign during the First World War. The battle was fought between 3 and 5 August 1916 near the Egyptian town of Romani and the site of ancient Pelusium on the Sinai Peninsula, 23 miles (37 km) east of the Suez Canal. This victory by the 52nd (Lowland) Division and the Anzac Mounted Division of the Egyptian Expeditionary Force (EEF) over a joint Ottoman and German force, which had marched across the Sinai, marked the end of the Defence of the Suez Canal campaign, also known as the Offensive zur Eroberung des Suezkanals and the İkinci Kanal Harekâtı, which had begun on 26 January 1915. This British Empire victory ensured the safety of the Suez Canal from ground attacks and ended the Central Powers' plans to disrupt traffic through the canal by gaining control of the strategically important northern approaches to it. The pursuit by the Anzac Mounted Division, which ended at Bir el Abd on 12 August, began the Sinai and Palestine Campaign. Thereafter the Anzac Mounted Division supported by the Imperial Camel Brigade were on the offensive, pursuing the German and Ottoman army many miles across the Sinai Peninsula, reversing in a most emphatic manner the defeat suffered at Katia three months earlier. From late April 1916, after a German-led Ottoman force attacked British yeomanry at Katia, British Empire forces in the region at first doubled from one brigade to two and then grew as rapidly as the developing infrastructure could support them. The construction of the railway and a water pipeline soon enabled an infantry division to join the light horse and mounted rifle brigades at Romani. During the heat of summer, regular mounted patrols and reconnaissance were carried out from their base at Romani, while the infantry constructed an extensive series of defensive redoubts. On 19 July the advance of a large German, Austrian and Ottoman force across the northern Sinai was reported. From 20 July until the battle began, the Australian 1st and 2nd Light Horse Brigades took turns pushing out to battle the advancing hostile column. During the night of 3-4 August the advancing force, including the German Pasha I formation and the Ottoman 3rd Infantry Division, launched an attack from Katia on Romani. Forward troops quickly became engaged with the screen established by the 1st Light Horse Brigade (Anzac Mounted Division). During fierce fighting before dawn on 4 August, the Australian light horsemen were forced to slowly retire. At daylight their line was reinforced by the 2nd Light Horse Brigade, and about mid morning the 5th Mounted Brigade and the New Zealand Mounted Rifles Brigade joined the battle. Together these four brigades of the Anzac Mounted Division managed to contain and direct the determined German and Ottoman forces into deep sand. Here they came within range of the strongly entrenched 52nd (Lowland) Division defending Romani and the railway. Coordinated resistance by all these EEF formations, the deep sand, the heat and thirst prevailed, and the German, Austrian and Ottoman advance was checked. Although the attacking force fought strongly to maintain its positions the next morning, by nightfall they had been pushed back to their starting point at Katia. The retiring force was pursued by the Anzac Mounted Division between 6 and 9 August, during which the Ottomans and Germans forces fought a number of strong rearguard actions against the advancing Australian light horse, British yeomanry and New Zealand mounted rifle brigades. The pursuit ended on 12 August, when the German and Ottoman force abandoned their base at Bir el Abd and retreated to El Arish."
"40.2461","26.2778","Unknown, 4 divisions (initial)","unknown","Gallipoli_campaign, Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/5/5c/Battle_of_Sari_Bair,_second_phase.jpg","1915","8","21","Battle of Sari Bair","Ottoman victory",NA
"32.4941","35.0545","DÃ©tachement FranÃ§ais de Palestine et de Syrie (DFPS) including theFrench Armenian Legion,XXI CorpsEgyptian Expeditionary Force, 54th (East Anglian) Division, 16th and 19th Divisions,Asia Corps,Eighth Army,YÄ±ldÄ±rÄ±m Army Group","218 Ottoman soldiers including six officers taken prisoner by the DFPS among 700 prisoners","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/7/77/Falls_skMap31Megiddo.jpeg","1918","9","19","Battle of Arara","Franco-British victory","The Battle of Arara took place on 19 September 1918 during the Battle of Sharon, which along with the Battle of Nablus formed the set piece Battle of Megiddo fought between 19 and 25 September in the last months of the Sinai and Palestine Campaign of the First World War. During the infantry phase of the Battle of Sharon the British Empire 60th Division, XXI Corps attacked and captured the section of the front line nearest the Mediterranean coast under cover of an intense artillery barrage including a creeping barrage and naval gunfire while the 3rd (Lahore), 7th (Meerut) and 75th Divisions XXI Corps attacked the Tabsor group of trenches. These Egyptian Expeditionary Force (EEF) victories over the entrenched Ottoman Eighth Army, composed of German and Ottoman soldiers, began the Final Offensive, ultimately resulting in the destruction of the equivalent of one Ottoman army, the retreat of what remained of two others, and the capture of many thousands of prisoners and many miles of territory from the Judean Hills to the border of modern-day Turkey. After the end of the battle of Megiddo, the Desert Mounted Corps pursued the retreating soldiers to Damascus, six days later. By the time an Armistice of Mudros was signed between the Allies and the Ottoman Empire five weeks later, Aleppo had been captured. During the Battle of Arara the Yildirim Army Group of the German and Ottoman Empires was attacked by the 54th (East Anglian) Division and the Détachement Français de Palestine et de Syrie (DFPS) which included the French Armenian Legion also known as La Légion Arménienne (XXI Corps). This battle on the extreme right of the main attack covered the flank of the attackers pivoting on their positions. The Armenian's' role during this battle was so prominent that their efforts were recognized by the top commanders of the Allied Force."
"31.2497","34.7997","4,400 rifles, 60 machine guns, 28 field guns, 47,500 rifles, 15,000 troopers","171 killed in action","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/8/8e/GullettCh23p.390Tel_elSaba.jpeg","1917","10","31","Battle of Beersheba","British victory","The Battle of Beersheba (Turkish: Birüssebi Muharebesi, German: Schlacht von Birüssebi) was fought on 31 October 1917, when the British Empire's Egyptian Expeditionary Force (EEF) attacked and captured the Yildirim Army Group garrison at Beersheba, beginning the Southern Palestine Offensive of the Sinai and Palestine campaign of World War I. Infantry from the 60th (London) and the 74th (Yeomanry) Divisions of the XX Corps from the southwest conducted limited attacks in the morning, then the Anzac Mounted Division (Desert Mounted Corps) launched a series of attacks against the strong defences which dominated the eastern side of Beersheba, resulting in their capture during the late afternoon. Shortly afterwards, the Australian Mounted Division's 4th and 12th Light Horse Regiments (4th Light Horse Brigade) conducted a mounted infantry charge with bayonets in their hands, their only weapon for mounted attack, as their rifles were slung across their backs. Part of the two regiments dismounted to attack entrenchments on Tel es Saba defending Beersheba while the remainder of the light horsemen continued their charge into the town, capturing the place and part of the garrison as it was withdrawing. German General Friedrich Freiherr Kress von Kressenstein was commander of the three divisions of the Fourth Army. He further strengthened his defensive line stretching from Gaza to Beersheba after the EEF defeats at the first and second battles of Gaza in March and April 1917, and received reinforcements of two divisions. Meanwhile, Lieutenant General Philip Chetwode (commanding the EEF's Eastern Force) began the Stalemate in Southern Palestine, defending essentially the same entrenched lines held at the end of the second battle. He initiated regular mounted reconnaissance into the open eastern flank of the Gaza to Beersheba line towards Beersheba. In June, the Ottoman Fourth Army was reorganized when the new Yildirim Army Group was established, commanded by German General Erich von Falkenhayn. At about the same time, British General Edmund Allenby replaced General Archibald Murray as commander of the EEF. Allenby reorganized the EEF to give him direct command of three corps, in the process deactivating Chetwode's Eastern Force and placing him in command of one of the two infantry corps. At the same time, Chauvel's Desert Column was renamed the Desert Mounted Corps. The stalemate continued through the summer in difficult conditions on the northern edge of the Negev Desert, while EEF reinforcements began to strengthen the divisions which had suffered more than 10,000 casualties during the two battles for Gaza. The primary functions of the EEF and the Ottoman Army during this time were to man the front lines and patrol the open eastern flank, although both sides conducted training of all units. The XXI Corps maintained the defences in the Gaza sector of the line by mid-October, while the battle of Passchendaele continued on the Western Front. Meanwhile, Allenby was preparing for the manoeuvre warfare attacks on the Ottoman defensive line, beginning with Beersheba, and for the subsequent advance to Jerusalem, and he was nearing completion with the arrival of the last reinforcements. Beersheba was defended by lines of trenches supported by isolated redoubts on earthworks and hills, which covered all approaches to the town. The Ottoman garrison was eventually encircled by the two infantry and two mounted divisions, as they and their supporting artillery launched their attacks. The 60th (London) Division's preliminary attack and capture of the redoubt on Hill 1070 led to the bombardment of the main Ottoman trench line. Then a joint attack by the 60th (London) and 74th (Yeomanry) Divisions captured all their objectives. Meanwhile, the Anzac Mounted Division cut the road to the northeast of Beersheba, from Beersheba to Hebron and continuing to Jerusalem. Continuous fighting against the main redoubt and defenses on Tel el Saba which dominated the eastern approaches to the town resulted in its capture in the afternoon. During this fighting, the 3rd Light Horse Brigade had been sent to reinforce the Anzac Mounted Division, while the 5th Mounted Brigade remained in corps reserve armed with swords. With all brigades of both mounted divisions already committed to the battle, the only brigade available was the 4th Light Horse Brigade, which was ordered to capture Beersheba. These swordless mounted infantrymen galloped over the plain, riding towards the town and a redoubt supported by entrenchments on a mound of Tel es Saba south-east of Beersheba. The 4th Light Horse Regiment on the right jumped trenches before turning to make a dismounted attack on the Ottoman infantry in the trenches, gun pits, and redoubts. Most of the 12th Light Horse Regiment on the left rode on across the face of the main redoubt to find a gap in the Ottoman defenses, crossing the railway line into Beersheba to complete the first step of an offensive which culminated in the EEF's capturing Jerusalem six weeks later."
"31.2036","34.5351","3 infantry brigades, 2 infantry regiments, 1 mounted division, 2 mounted brigades","53 wounded, 24 killed, 10 missing","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/e/ef/FallsV2skMap1dGazaBSba.jpeg","1917","10","27","Battle of El Buqqar Ridge","British victory","The Battle of el Buqqar Ridge took place on 27 October 1917, when one infantry regiment and cavalry troops of the Yildirim Army Group, attacked the 8th Mounted Brigade of the Egyptian Expeditionary Force (EEF) in the last days of the stalemate in Southern Palestine during the Sinai and Palestine campaign of World War I. The commander of the Yildirim Army Group ordered the reconnaissance in force, which greatly outnumbered the Yeomanry in the mounted brigade, holding the outpost line. Despite a large number of casualties, one group made a slight withdrawal to subsequently hold their ground, until reinforcements arrived and the attackers withdrew. However another group of Yeomanry was overwhelmed and killed. Four days later, two infantry and two mounted divisions launched the EEF's Southern Palestine Offensive, with the Battle of Beersheba on 31 October 1917."
"40.2726","26.2931","4,000, Unknown","1,100","Middle_Eastern_theatre_of_World_War_I, Gallipoli_campaign","https://upload.wikimedia.org/wikipedia/commons/e/e8/Hill_60_Australian_Recruting_poster_1915.jpg","1915","8","29","Battle of Hill 60","Ottoman victory","The Battle of Hill 60 was the last major assault of the Gallipoli Campaign. It was launched on 21 August 1915 to coincide with the attack on Scimitar Hill made from the Suvla front by Major-General H. de B. De Lisle's British IX Corps, Frederick Stopford having been replaced in the few days previous. Hill 60 was a low knoll at the northern end of the Sari Bair range which dominated the Suvla landing. Capturing this hill along with Scimitar Hill would have allowed the Anzac and Suvla landings to be securely linked. Two major attacks were made by Allied forces, the first on 21 August and the second on 27 August. The first assault resulted in limited gains around the lower parts of the hill, but the Ottoman defenders managed to hold the heights even after the attack was continued by a fresh Australian battalion on 22 August. Reinforcements were committed, but nevertheless the second major assault on 27 August fared similarly, and although fighting around the summit continued over the course of three days, at the end of the battle the Ottoman forces remained in possession of the summit."
"30.9667","32.75","1,500, 3,650","500","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/e/e1/Battle_of_Katia_map_(Gullett_p_83).jpeg","1916","4","23","Battle of Katia","Ottoman victory","The Battle of Katia, also known as the Affair of Qatia by the British, was an engagement fought east of the Suez Canal and north of El Ferdan Station, in the vicinity of Katia and , on 23 April 1916 during the Defence of the Suez Canal Campaign of World War I. An Ottoman force led by the German General Friedrich Freiherr Kress von Kressenstein made a surprise attack on three and a half squadrons of the British 5th Mounted Brigade, which was widely scattered to the east of Romani. The mounted brigade had been ordered to the area to protect the new railway and water pipeline being built from Kantara on the Suez Canal, as this infrastructure extended out past the Canal's zone of defences into the Sinai Peninsula towards Romani. Kress Von Kressenstein's attack was completely successful, decimating the equivalent of little more than a regiment. On the same day, an associated Ottoman attack on Duidar, very close to the Suez Canal, failed when it met with strong British opposition. Kress von Kressenstein's force had been active in the area since the First Suez Offensive of early 1915, when three columns attacked the Canal along the northern, central, and southern routes across the Sinai Peninsula. The growing Imperial strength made attacks on the Suez Canal difficult, and ended the dominance of the Ottoman force in the area. The Ottoman Empire's attacks on 23 April demonstrated their intention to continue opposing the British Empire in the region. However, the Imperial reaction to these attacks was to double the strength of their forces. The 2nd Light Horse Brigade, and the New Zealand Mounted Rifles Brigade, were sent to Katia and Romani and established a strong Imperial presence over the contested ground. Soon after, the Australian 1st Light Horse Brigade was also sent forward, and the 52nd (Lowland) Division arrived at Romani not long after. At the beginning of August, the Battle of Romani was fought over much of the same ground as that at Katia."
"31.9333","35.9333","6,000 troops with 15 guns","1,348","Middle_Eastern_theatre_of_World_War_I","https://upload.wikimedia.org/wikipedia/commons/5/56/Camels_crossing_the_Jordan_River.jpg","1918","3","31","First Battle of Amman","Ottoman victory","The First Battle of Amman was fought from 27 to 31 March 1918 during the First Transjordan attack on Amman of the Sinai and Palestine Campaign of the First World War. The 60th (London) Division and the Anzac Mounted Division attacked the Ottoman garrison at Amman deep in enemy occupied territory, 48 kilometres (30 mi) from their front line, after capturing Es Salt and Shunet Nimrin. The Egyptian Expeditionary Force (EEF) was successfully counterattacked by Ottoman Empire forces forcing them to retreat back to the bridgeheads captured on the Jordan River. Following the victories at the Third Battle of Gaza and the Battle of Beersheba, the EEF had pursued the retreating Ottoman armies, fighting successful battles at Mughar Ridge in November and capturing Jerusalem in December. During the winter of 1917/1918 these considerable territorial gains were consolidated and the front line established. In February 1918 the front line was pushed eastwards by the EEF when the right flank of the Jaffa to Jerusalem line was extended by the capture of land from the east of Jerusalem stretching down into the Jordan Valley to capture Jericho. In early March the front line from the Mediterranean to Abu Tellul in the Judean Hills, was pushed north during the action of Tell 'Asur. These two adjustments to the front line were necessary precursors, to advances by Allenby's EEF across the Jordan River and into the hills of Moab to Es Salt and Amman. The Passage of the Jordan was effected by a British Empire force of Australian and British swimmers, crossing the fast-flowing river while under fire. Pontoon bridges were quickly constructed and the infantry and mounted troops crossed the river to establish bridgeheads on the eastern bank, before advancing up to and across the high country; the infantry moving along the main road with the mounted columns riding on both flanks. They were to cut the railway line to the north and south of Amman by destroying long sections of the Hejaz Railway, including bridges and a viaduct. Amman was strongly defended by the Fourth Army garrison which was further strengthened by the arrival of reinforcements. British Empire infantry and artillery reinforcements from Es Salt strengthened the 181st Brigade and the Anzac Mounted Division's attacking force travelling across difficult and unfriendly terrain. Although the combined force of infantry and mounted troops made determined attacks on Amman over several days, the strength of defence and threats to lines of communication forced a retreat back to the Jordan Valley. The only territorial gains following the offensive were the establishment of bridgeheads on the eastern side of the river at Ghoraniyeh and Makhadet Hajlah."
