"lat","long","strength","causalties","campaign","depiction","year","month","day","name","result","desc"
"50.0402","2.78461","Parts of 5 divisions, Parts of 8 divisions","13,111 (High Wood and vicinity","World_War_I","https://upload.wikimedia.org/wikipedia/commons/9/97/German_defensive_lines,_Martinpuich,_Le_Sars_and_Flers_area,_Somme_1916.png","1916","9","15","Attacks on High Wood","British victory","The Attacks on High Wood, near Bazentin le Petit in the Somme département of northern France, took place between the British Fourth Army and the German 1st Army during the Battle of the Somme. After the Battle of Bazentin Ridge on 14 July 1916, High Wood lay undefended for most of the day but delays in communication and confusion caused by orders and counter-orders from British corps headquarters, which had overlapping responsibilities, led to the occupation of High Wood being forestalled by German reserves, which had moved forward to counter-attack British troops in the villages of Bazentin-le-Grand and Bazentin-le-Petit. Men from the 7th Division managed to occupy the southern half of the wood and two cavalry squadrons advanced on the east side to Wood Lane, which connected the wood to Longueval. On 15 July, the wood was evacuated by the survivors and the cavalry retired. The British and the Germans fought for control of the wood from 14 July to 15 September. Both sides had many casualties and chronic communication problems; inclement weather grounded aircraft, obscured the view and slowed movement on the roads, which had been severely bombarded and turned to mud as soon as it rained. Trenches and shell holes filled with water, which made infantry movement exceedingly difficult and exhausted trench garrisons. The British and French found it impossible to arrange co-ordinated attacks and fought many small piecemeal actions, rather than general attacks until 15 September. British-French co-operation broke down again and the French did not attack on 15 September, when the British captured the wood during the Battle of Flers-Courcelette (15-22 September). The German defenders had great difficulty finding fresh troops for the Somme front, despite ending the Battle of Verdun (21 February - 20 December) and had to send divisions to the Eastern Front and to Romania after it declared war on 27 August. Turnover of German divisions was high and many had to be withdrawn and replaced after fourteen days in the front line. The Germans lacked the resources to make many big organised counter-attacks and those at High Wood and the vicinity were often as costly and ineffective as corresponding British attacks."
"40.078","26.216","4 Divisions, 6 Divisions","4,120 total","World_War_I","https://upload.wikimedia.org/wikipedia/commons/4/43/MapHellesWarZoneGallipoli1915.jpg","1915","8","13","Battle of Krithia Vineyard","Ottoman victory","The Battle of Krithia Vineyard (6-13 August 1915) was fought during the Gallipoli Campaign during the First World War. It was originally intended as a minor British action at Helles on the Gallipoli peninsula to divert attention from the imminent launch of the August Offensive, but instead, the British commander, Brigadier General H.E. Street, mounted a futile and bloody series of attacks that in the end gained a small patch of ground known as The Vineyard."
"12.0833","15.0333","250, 37, 1 gun","1 gun, 23","World_War_I, Kamerun_campaign","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1914","9","25","Battle of Kusseri","French victory","The Battle of Kusseri between German and French forces took place from late August to 25 September 1914 in Kusseri, northeastern Kamerun during the Kamerun Campaign of World War I. The action resulted in the French capture of the Kusseri fort and the German garrison's retreat to Mora."
"49.4714","3.48611","XXI Corps), (XI Corps, 7th Army, 64 tanks, XIV Corps, 1,845 guns, 7 divisions, 6th Army","12,000â€“14,000","Nivelle_offensive, World_War_I","https://upload.wikimedia.org/wikipedia/commons/6/63/Fort_de_la_Malmaison.jpg","1917","10","27","Battle of La Malmaison","French victory","The Battle of La Malmaison (Bataille de la Malmaison) from 23 to 27 October, was the final French action of the 1917 campaign in the First World War, which had begun with the Nivelle Offensive. The French captured the village and fort of La Malmaison and took control of the Chemin des Dames ridge. The German 7th Army (General Max von Boehn) had discovered French preparations for the attack and also identified the date and time. Boehn chose to defend the front positions, rather than treat them as an advanced zone and to conduct the main defence north of the Oise-Aisne Canal. The German artillery was outnumbered three-to-one and on the front of the 14th Division, 32 German batteries were confronted by 125 French, which silenced most of the German guns before the attack. Gas from French bombardments on low-lying land near the Oise-Aisne Canal in the Ailette valley, became so dense that it was impossible to carry ammunition and supplies forward or to remove the wounded. Battalions from specialist German counter-attack divisions (Eingreifdivisionen) had been distributed along the front line and were caught in the French bombardments, German infantry shelters having been identified by French air reconnaissance and systematically destroyed. After the four-day bombardment was extended by two more days because of bad weather, the French XIV, XXI and XI corps of the Sixth Army, attacked on a 12.1 km (7.5 mi) front with six divisions. Zero hour had been set for 5:45 a.m. but a German message, ordering the front garrisons to be ready at 5:30 a.m. was intercepted and the French start time was moved forward to 5:15 a.m. The French infantry advanced behind an elaborate creeping barrage but the earlier zero hour meant that the attack began in the dark. Rain began to fall at 6:00 a.m. and the 63 attached Schneider CA1 and Saint-Chamond tanks were impeded by mud and 27 bogged behind the French front line. Fifteen tanks were immobilised crossing no man's land or in the German front line but the 21 remaining tanks and the infantry reached the German second position according to plan. The 38th Division captured Fort de Malmaison and XXI Corps took Allemant and Vaudesson. From 24 to 25 October, XXI and XIV corps advanced rapidly; the I Cavalry Corps was brought forward into the XIV Corps area, ready to exploit a German collapse. The German 7th Army conducted the Bunzelwitz Bewegung (Bunzelwitz Manoeuvre), a retirement from the Chemin-des-Dames to the north bank of the Ailette on the night of 1/2 November."
"9.4","16.3","unknown","(1 lieutenant, 13 soldiers), 14 killed","World_War_I, Kamerun_campaign","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1914","8","21","Battle of Laï","German victory","The Battle of Laï began on 21 August 1914 in Chad, during the First World War at the village of Laï, capital of the district of Logone, on the Logone River in the south. A German column from Kamerun, led by Captain Von Duhring, attacked the village of Laï, defended by Captain Jeanjean. After a bitter fight, the French were driven out and the village was occupied by the Germans until 1 September 1914."
"50.9167","2.91667","8 British, 2 French, 6, 5, 10 divisions","16â€“28 August: 36,190","Battle_of_Passchendaele, World_War_I","https://upload.wikimedia.org/wikipedia/commons/0/0f/German_defences_east_of_Ypres_mid-1917.jpg","1917","8","18","Battle of Langemarck","Indecisive","The Battle of Langemarck (16-18 August 1917) was the second Anglo-French general attack of the Third Battle of Ypres, during the First World War. The battle took place near Ypres in Belgian Flanders, on the Western Front against the German 4th Army. The French First Army had a big success on the northern flank from Bixschoote to Drie Grachten (Three Canals) and the British gained a substantial amount of ground northwards from Langemark to the boundary with the French. The attack on the Gheluvelt Plateau on the right (southern) flank captured a considerable amount of ground but failed to reach its objectives. German counter-attacks recaptured most of the lost territory during the afternoon. The weather prevented much of the British programme of air co-operation with the infantry, which made it easier for German reserves to assemble on the battlefield. An unusually large amount of rain in August, poor drainage and lack of evaporation turned the ground into a morass, which was worse for the British and French, who occupied lower-lying ground and attacked areas which had been frequently and severely bombarded. Mud and flooded shell holes severely reduced the mobility of the infantry and poor visibility hampered artillery observers and artillery-observation aircraft. Rainstorms and the costly German defensive success during the rest of August, led the British to stop the offensive for three weeks. In early September, the sun came out and with the return of a breeze, dried much of the ground. The British rebuilt roads and tracks to the front line, transferred more artillery and fresh divisions from the armies further south and revised further their tactics. The main offensive effort was shifted southwards and led to success on the Gheluvelt Plateau on 20, 26 September and 4 October, before the rains returned."
"-10.35","39.2667","5,000-6,000 men, 3,000 men","500â€“600 killed and wounded","World_War_I","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1917","10","18","Battle of Mahiwa","British strategic victory, German tactical victory","The Battle of Mahiwa between German and British Imperial forces was fought during the East African Campaign of World War I, when South African and Nigerian troops under Lieutenant General Jacob van Deventer engaged a column under German General Paul Emil von Lettow-Vorbeck, at Mahiwa in German East Africa. The Germans inflicted substantial casualties upon Van Deventer's army, forcing it to withdraw. But the Germans lost a large percentage of their forces, and were ultimately forced to withdraw from their positions and continue their guerrilla war. The battle was noted as, by the British Official History, as the Most disastrous day for the Nigerian Army since the formation of the force and was called The most savage battle in the history of African conflict-not excluding Omdurman or any engagement of the Boer War."
"-33.6356","-78.8186","1armoured cruiser, 1auxiliary cruiser, 1light cruiser","none","World_War_I","https://upload.wikimedia.org/wikipedia/commons/d/dc/SMS_Dresden_before_scuttling.jpg","1915","3","14","Battle of Más a Tierra","British victory","The Battle of Más a Tierra was a World War I sea battle fought on 14 March 1915, near the Chilean island of Más a Tierra, between a British squadron and a German light cruiser. The battle saw the last remnant of the German East Asia Squadron destroyed, when SMS Dresden was cornered and scuttled in Cumberland Bay."
"7.32167","13.585","200","Light","World_War_I, Kamerun_campaign","https://upload.wikimedia.org/wikipedia/commons/2/25/Flag_of_Nigeria_(1914%C3%A2%E2%82%AC%E2%80%9C1952).svg","1915","6","29","Battle of Ngaundere","Allied victory","The Battle of Ngaundere or Battle of Ngaoundéré was a small engagement fought between German and British forces on 29 July 1915 during the Kamerun campaign of World War I. It resulted in a German defeat and British occupation of the town."
"5.87617","8.97467","800, ~200","8 British officers, 160 Nigerians (95 dead, 16 wounded, 49 captured)","Kamerun_campaign, World_War_I","https://upload.wikimedia.org/wikipedia/commons/c/cd/Reichskolonialflagge.svg","1914","9","6","Battle of Nsanakong","German victory","The Battle of Nsanakong or Battle of Nsanakang took place between defending British and attacking German forces during the Kamerun Campaign of the First World War. The town of Nsanakong had been occupied by the British on 30 August 1914. On 6 September, German forces attacked, driving the British force over the border back into Nigeria."
